nom,masse_kg_m,h_m,b_m,tw_m,tf_m,aire_m2,Iyy_m4,Wel_y_m3,Wpl_y_m3,iy_m,Izz_m4,Wel_z_m3,Wpl_z_m3,iz_m,J_m4,r_m,profil_gsa
HE260A,68.2,0.25,0.26,0.0075,0.0125,0.00868,0.00010449999999999999,0.0008364000000000001,0.0009198,0.1097,3.668e-05,0.0002821,0.00043020000000000005,0.065,5.42e-07,0.024,CAT HE-AM HE260A 20170912
HE260B,93,0.26,0.26,0.01,0.0175,0.01184,0.0001492,0.0011480000000000001,0.001283,0.11220000000000001,5.135e-05,0.000395,0.0006022,0.0658,1.27e-06,0.024,CAT HE-AM HE260B 20170912
HE260C,132,0.275,0.264,0.014,0.025,0.01684,0.0002259,0.0016430000000000001,0.0018800000000000002,0.1158,7.68e-05,0.0005818,0.0008883000000000001,0.0675,3.4e-06,0.024,CAT HE-AM HE260C 20170912
HE260M,172,0.29,0.268,0.018000000000000002,0.0325,0.02196,0.00031309999999999997,0.0021590000000000003,0.002524,0.1194,0.00010449999999999999,0.0007797,0.0011920000000000001,0.069,7.2e-06,0.024,CAT HE-AM HE260M 20170912
HE280AA,61.2,0.264,0.28,0.007,0.01,0.0078,0.00010559999999999999,0.0007998,0.0008731,0.1163,3.664e-05,0.0002617,0.0003994,0.0685,3.55e-07,0.024,CAT HE-AM HE280AA 20170912
HE280A,76.4,0.27,0.28,0.008,0.013000000000000001,0.009729999999999999,0.0001367,0.001013,0.0011120000000000001,0.1186,4.7629999999999996e-05,0.00034020000000000003,0.0005181,0.07,6.35e-07,0.024,CAT HE-AM HE280A 20170912
HE280B,103,0.28,0.28,0.0105,0.018000000000000002,0.013139999999999999,0.0001927,0.001376,0.001534,0.1211,6.595e-05,0.000471,0.0007176000000000001,0.0709,1.46e-06,0.024,CAT HE-AM HE280B 20170912
HE280C,145,0.295,0.28400000000000003,0.0145,0.025500000000000002,0.01852,0.0002881,0.001953,0.002225,0.1247,9.75e-05,0.0006866,0.001047,0.0726,3.8499999999999996e-06,0.024,CAT HE-AM HE280C 20170912
HE280M,189,0.31,0.28800000000000003,0.0185,0.033,0.02402,0.0003955,0.0025510000000000003,0.0029660000000000003,0.12830000000000003,0.0001316,0.0009141,0.001397,0.074,8.07e-06,0.024,CAT HE-AM HE280M 20170912
HE300AA,69.8,0.28300000000000003,0.3,0.0075,0.0105,0.00889,0.000138,0.0009756000000000001,0.001065,0.1246,4.734e-05,0.00031560000000000003,0.0004823,0.073,4.78e-07,0.027,CAT HE-AM HE300AA 20170912
HE300A,88.3,0.29,0.3,0.0085,0.014,0.01125,0.0001826,0.00126,0.0013830000000000001,0.1274,6.31e-05,0.00042060000000000003,0.0006412000000000001,0.0749,8.78e-07,0.027,CAT HE-AM HE300A 20170912
HE300B,117,0.3,0.3,0.011,0.019,0.01491,0.0002517,0.001678,0.0018690000000000002,0.12990000000000002,8.562999999999999e-05,0.0005709,0.0008701000000000001,0.0758,1.89e-06,0.027,CAT HE-AM HE300B 20170912
HE300C,177,0.32,0.305,0.016,0.029,0.02251,0.0004095,0.002559,0.0029270000000000003,0.13490000000000002,0.00013736,0.0009007,0.001374,0.07810000000000002,6.04e-06,0.027,CAT HE-AM HE300C 20170912
HE300M,238,0.34,0.31,0.021,0.039,0.03031,0.000592,0.0034820000000000003,0.004078,0.1398,0.000194,0.001252,0.0019130000000000002,0.08,1.41e-05,0.027,CAT HE-AM HE300M 20170912
HE320AA,74.2,0.301,0.3,0.008,0.011,0.00946,0.0001645,0.001093,0.001196,0.13190000000000002,4.959e-05,0.0003306,0.0005057,0.0724,5.36e-07,0.027,CAT HE-AM HE320AA 20170912
