nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
RHS500x300x8,97.9,0.5,0.3,0.008,,,0.0125,0.00043728,0.00019951,0.187,0.126,0.001749,0.00133,0.0021,0.00148,0.00042563,,,20110705,CAT EN-RHS RHS500x300x8 20110705
RHS260x180x16,100.0,0.26,0.18,0.016,,,0.0128,0.00011245,6.231e-05,0.0938,0.0698,0.000865,0.000692,0.001081,0.000831,0.00012993,,,20110705,CAT EN-RHS RHS260x180x16 20110705
RHS260x180x16.0,100.0,0.26,0.18,0.016,,,0.0128,0.0001125,6.231e-05,0.0938,0.0698,0.000865,0.000692,0.001081,0.000831,0.0001299,,False,20100728,CAT EN-RHS RHS260x180x16.0 20100728
RHS300x250x12.5,102.0,0.3,0.25,0.0125,,,0.013,0.00016857,0.0001268,0.114,0.0989,0.001124,0.001014,0.001345,0.001185,0.00022711,,,20110705,CAT EN-RHS RHS300x250x12.5 20110705
RHS400x150x12.5,102.0,0.4,0.15,0.0125,,,0.013,0.00024369,5.043e-05,0.137,0.0624,0.001218,0.000672,0.001571,0.000772,0.00013831,,,20110705,CAT EN-RHS RHS400x150x12.5 20110705
RHS250x200x16,103.0,0.25,0.2,0.016,,,0.0131,0.00011073,7.751e-05,0.0919,0.0769,0.000886,0.000775,0.001093,0.000933,0.00014674,,,20110705,CAT EN-RHS RHS250x200x16 20110705
RHS300x150x16,103.0,0.3,0.15,0.016,,,0.0131,0.00014161,4.595e-05,0.104,0.0592,0.000944,0.000613,0.001213,0.000732,0.00011464,,,20110705,CAT EN-RHS RHS300x150x16 20110705
RHS300x200x14.2,103.0,0.3,0.2,0.0142,,,0.0132,0.0001583,8.328e-05,0.11,0.0795,0.001055,0.000833,0.001302,0.000978,0.0001746,,False,20100728,CAT EN-RHS RHS300x200x14.2 20100728
RHS350x150x14.2,103.0,0.35,0.15,0.0142,,,0.0132,0.00019189,4.89e-05,0.121,0.0609,0.001097,0.000652,0.001411,0.000763,0.00012875,,,20110705,CAT EN-RHS RHS350x150x14.2 20110705
RHS400x300x10,106.0,0.4,0.3,0.01,,,0.0135,0.00031521,0.00020233,0.153,0.122,0.001576,0.001349,0.00187,0.001536,0.0003818,,,20110705,CAT EN-RHS RHS400x300x10 20110705
RHS450x250x10,106.0,0.45,0.25,0.01,,,0.0135,0.00036895,0.00014819,0.165,0.105,0.00164,0.001185,0.002,0.001331,0.00033284,,,20110705,CAT EN-RHS RHS450x250x10 20110705
RHS450x250x10.0,106.0,0.45,0.25,0.01,,,0.0135,0.000369,0.0001482,0.165,0.105,0.00164,0.001185,0.002,0.001331,0.0003328,,False,20100728,CAT EN-RHS RHS450x250x10.0 20100728
RHS500x200x10,106.0,0.5,0.2,0.01,,,0.0135,0.00041755,9.891e-05,0.176,0.0856,0.00167,0.000989,0.002105,0.001101,0.00025872,,,20110705,CAT EN-RHS RHS500x200x10 20110705
RHS500x300x8.8,107.0,0.5,0.3,0.0088,,,0.0137,0.00047784,0.0002177,0.187,0.126,0.001911,0.001451,0.0023,0.001619,0.00046554,,,20110705,CAT EN-RHS RHS500x300x8.8 20110705
RHS400x120x14.2,108.0,0.4,0.12,0.0142,,,0.0137,0.00023923,3.292e-05,0.132,0.0489,0.001196,0.000549,0.001593,0.000646,9.893e-05,,,20110705,CAT EN-RHS RHS400x120x14.2 20110705
RHS350x250x12.5,112.0,0.35,0.25,0.0125,,,0.0142,0.0002442,0.0001444,0.131,0.101,0.001395,0.001156,0.001685,0.001334,0.0002853,,False,20100728,CAT EN-RHS RHS350x250x12.5 20100728
RHS400x200x12.5,112.0,0.4,0.2,0.0125,,,0.0142,0.0002906,9.738e-05,0.143,0.0828,0.001453,0.000974,0.001813,0.001111,0.0002344,,False,20100728,CAT EN-RHS RHS400x200x12.5 20100728
RHS300x200x16,115.0,0.3,0.2,0.016,,,0.0147,0.0001739,9.109e-05,0.109,0.0787,0.001159,0.000911,0.001441,0.00108,0.00019252,,,20110705,CAT EN-RHS RHS300x200x16 20110705
RHS300x250x14.2,115.0,0.3,0.25,0.0142,,,0.0146,0.00018734,0.0001407,0.113,0.0982,0.001249,0.001126,0.001505,0.001325,0.00025365,,,20110705,CAT EN-RHS RHS300x250x14.2 20110705
RHS350x150x16,115.0,0.35,0.15,0.016,,,0.0147,0.00021079,5.317e-05,0.12,0.0601,0.001205,0.000709,0.001561,0.00084,0.00014124,,,20110705,CAT EN-RHS RHS350x150x16 20110705
RHS400x150x14.2,115.0,0.4,0.15,0.0142,,,0.0146,0.00027095,5.547e-05,0.136,0.0616,0.001355,0.00074,0.001758,0.000859,0.00015333,,,20110705,CAT EN-RHS RHS400x150x14.2 20110705
RHS400x120x16,120.0,0.4,0.12,0.016,,,0.0153,0.00026295,3.558e-05,0.131,0.0482,0.001315,0.000593,0.001764,0.000709,0.00010783,,,20110705,CAT EN-RHS RHS400x120x16 20110705
